?x2,?x1,?x0
---------------------------------------
Q3365000,Q3365000,Q3365000
Q3365000,Q3433636,Q3365000
Q3365000,Q3870181,Q3365000
Q3365000,Q3883578,Q3365000
Q3365000,Q3694304,Q3365000
Q3365000,Q3372614,Q3365000
Q3365000,Q3440643,Q3365000
Q3365000,Q3748722,Q3365000
Q3365000,Q3925071,Q3365000
Q3365000,Q3947941,Q3365000
Q3365000,Q3802919,Q3365000
Q3365000,Q3949385,Q3365000
Q3365000,Q3639377,Q3365000
Q3365000,Q3365031,Q3365031
Q3365000,Q3531877,Q3365031
Q3365000,Q3947066,Q3365031
Q3365000,Q3883304,Q3365031
Q3365000,Q3677506,Q3365031
Q3365000,Q3784100,Q3365031
Q3365000,Q3948209,Q3365031
Q3365000,Q3433308,Q3365031
Q3365000,Q3918934,Q3365031
Q3365000,Q3723978,Q3365031
Q3365000,Q3563507,Q3365031
Q3365000,Q3420211,Q3365031
Q3365000,Q3499357,Q3365031
Q3365000,Q3552943,Q3365031
Q3365000,Q3576884,Q3365031
Q3365000,Q3710768,Q3365031
Q3365000,Q3517962,Q3365031
Q3365000,Q3608355,Q3365031
Q3365000,Q3484855,Q3365031
Q3365000,Q3437034,Q3365031
Q3365000,Q3655956,Q3365031
Q3365000,Q3758375,Q3365031
Q3365000,Q3583333,Q3365031
Q3365000,Q3914864,Q3365031
Q3365000,Q3562659,Q3365031
Q3365000,Q3656577,Q3365031
Q3365000,Q3898477,Q3365031
Q3365000,Q3616567,Q3365031
Q3365000,Q3680689,Q3365031
Q3365000,Q3411693,Q3365031
Q3365000,Q3714302,Q3365031
Q3365000,Q3797931,Q3365031
Q3365000,Q3411704,Q3365031
Q3365000,Q3560007,Q3365031
Q3365000,Q3611399,Q3365031
Q3365000,Q3655236,Q3365031
Q3365000,Q3691464,Q3365031
Q3365000,Q3699516,Q3365031
Q3365000,Q3676542,Q3365031
Q3365000,Q3879301,Q3365031
Q3365000,Q3519559,Q3365031
Q3365000,Q3599216,Q3365031
Q3365000,Q3628678,Q3365031
Q3365000,Q3784491,Q3365031
Q3365000,Q3954491,Q3365031
Q3365000,Q3823603,Q3365031
Q3365000,Q3943818,Q3365031
Q3365000,Q3691150,Q3365031
Q3365000,Q3678023,Q3365031
Q3365000,Q3785440,Q3365031
Q3365000,Q3804837,Q3365031
Q3365000,Q3414256,Q3365031
Q3365000,Q3634626,Q3365031
Q3365000,Q3646190,Q3365031
Q3365000,Q3494449,Q3365031
Q3365000,Q3559392,Q3365031
Q3365000,Q3601233,Q3365031
Q3365000,Q3761474,Q3365031
