?x2,?x3
---------------------------------------
Q811101,Q1405647
Q1405647,Q1405647
Q306202,Q1183936
Q1183936,Q1183936
Q993744,Q1545421
Q1545421,Q1545421
Q1197301,Q1145173
Q1145173,Q1145173
Q178843,Q1402667
Q1402667,Q1402667
Q413458,Q1124643
Q1124643,Q1124643
Q729612,Q1199792
Q1199792,Q1199792
Q112733,Q1268646
Q1268646,Q1268646
Q228797,Q1240319
Q1240319,Q1240319
Q391146,Q1501346
Q1501346,Q1501346
Q72121,Q1527532
Q1527532,Q1527532
Q420082,Q1529492
Q1529492,Q1529492
Q1355452,Q100862
Q100862,Q100862
Q178428,Q148032
Q148032,Q148032
Q1349351,Q199195
Q199195,Q199195
Q840674,Q216428
Q216428,Q216428
Q1200245,Q217089
Q217089,Q217089
Q489493,Q261333
Q261333,Q261333
Q319707,Q330895
Q330895,Q330895
Q1221617,Q34727
Q1291359,Q34727
Q34727,Q34727
Q560101,Q34727
Q674715,Q534284
Q534284,Q534284
Q160714,Q544977
Q544977,Q544977
Q1233329,Q57456
Q57456,Q57456
Q554861,Q607066
Q607066,Q607066
Q1510019,Q653144
Q653144,Q653144
Q991407,Q687929
Q687929,Q687929
Q1364556,Q700721
Q700721,Q700721
Q1095012,Q717523
Q717523,Q717523
Q378639,Q728299
Q728299,Q728299
Q187768,Q778538
Q778538,Q778538
Q679074,Q779460
Q779460,Q779460
Q366779,Q879205
Q879205,Q879205
Q125676,Q918958
Q888350,Q918958
Q918958,Q918958
Q1341401,Q948289
Q948289,Q948289
---------------------------------------
Found 71 results.
Execution time: 36.6251 ms.
Query Parser/Optimizer time: 101.403 ms.
